imdb_id|title|year|rated|released|runtime|genre|director|writers|actors|plot|country|language|metascore|poster|rating|votes|budget|opening_weekend|gross|production|parent_id|type|session|episode_id|status
tt0310853|Casino Royale|1954||21 October 1954 (USA)|52 min|Drama|William H. Brown Jr.  (as William H. Brown)|Ian Fleming  (novel), Antony Ellis  (written for television by)|Barry Nelson , Peter Lorre , Linda Christian|American Combined Intelligence Agency spy James Bond aka Jimmy Bond arrives at the Casino Royale in Monte Carlo, Monaco but is shot at whilst entering. He meets up with British Secret Service secret agent Clarence Leiter (this character was called Felix Leiter in the original Ian Fleming novel). He briefs Bond about his mission then Bond runs into old flame Valerie Mathis (she is an amalgam of the Vesper Lynd and Rene Mathis characters from the novel). She introduces him to Le Chiffre who is the Chief Soviet Agent in the area and is nearly always accompanied by three henchman called Basil, Zoltan and Zuroff. Le Chiffre has been gambling with the Soviet funds of his employers and he's down several million francs. Bond's mission is to beat him at a high-stakes card game of Baccarat so Le Chiffre will be ruined.|USA|English|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MzQyNjk3OV5BMl5BanBnXkFtZTcwODI4MjkxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg|5.8|853|$25,000|N/A|N/A|CBS Television Network|||||true
tt0055928|Dr. No|1962|PG|7 October 1962 (UK)|110 min|Action, Adventure, Thriller|Terence Young|Richard Maibaum  (screenplay), Johanna Harwood  (screenplay)|Sean Connery , Ursula Andress , Bernard Lee|James Bond (007) is Britain's top agent and is on an exciting mission, to solve the mysterious murder of a fellow agent. The task sends him to Jamaica, where he joins forces with Quarrel and a loyal CIA agent, Felix Leiter. While dodging tarantulas, fire breathing dragons and a trio of assassins known as the three blind mice.Bond meets up with the beautiful Honey Ryder and goes face to face with the evil Dr.No.|UK, Jamaica|English, French|0|https://images-na.ssl-images-amazon.com/images/M/MV5BOTU3NzExMTQ4N15BMl5BanBnXkFtZTcwMjkzNzQzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg|7.3|121,966|$1,100,000|N/A|$16,067,035|Eon Productions||movie|||true
tt0057076|From Russia with Love|1963|PG|11 October 1963 (UK)|115 min|Action, Adventure, Thriller|Terence Young|Richard Maibaum  (screenplay), Johanna Harwood  (adaptation)|Sean Connery , Robert Shaw , Lotte Lenya|James Bond 007 is on the search for a Russian decoding machine, known as Lektor. Bond needs to find this machine, before the evil SPECTRE organization discovers it first. Whilst being romantically linked with Russian girl, Tatiana Romanova, Bond sneaks his way around Istanbul, whilst each SPECTRE agent tries to pick him off, including the over powering Donald 'Red' Grant and ex-KGB agent Rosa Klebb who knows all the tricks in the books and even possesses an incredible poison tipped shoe!|UK|English, Russian, Turkish, Romany|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTIzMTExN15BMl5BanBnXkFtZTcwODI4MDgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg|7.5|94,336|$2,000,000|N/A|$24,800,000|Eon Productions||movie|||true
tt0058150|Goldfinger|1964|PG|20 September 1964 (UK)|110 min|Action, Adventure, Thriller|Guy Hamilton|Richard Maibaum  (screenplay), Paul Dehn  (screenplay)|Sean Connery , Gert Fröbe , Honor Blackman|Bond is back and his next mission takes him to Fort Knox, where Auric Goldfinger and his henchman are planning to raid Fort Knox and obliterate the world economy. To save the world once again, Bond will need to become friends with Goldfinger, dodge killer hats and avoid Goldfinger's personal pilot, the sexy Pussy Galore. She might not have feelings for Bond, but will 007 help her change her mind?|UK|English, Chinese, Spanish|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg|7.8|145,258|$3,000,000|N/A|$51,100,000|Eon Productions||movie|||true
tt0059800|Thunderball|1965|PG|29 December 1965 (UK)|130 min|Action, Adventure, Thriller|Terence Young|Richard Maibaum  (screenplay), John Hopkins  (screenplay)|Sean Connery , Claudine Auger , Adolfo Celi|James Bond continues on his fourth mission, with his aim to recover two stolen warheads. They have been taken by the evil SPECTRE organization. The world is held hostage and Bond heads to Nassau. Here, he meets the beautiful Domino and is forced into a thrilling confrontation with SPECTRE agent Emilio Largo, on board his boat, the Disco Volante. Will 007 prevent the killing of millions of innocent victims?|UK|English, French|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1Mjc2MTYxNV5BMl5BanBnXkFtZTcwNzUzMzY3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|7.0|86,058|$9,000,000|N/A|$63,600,000|Eon Productions||movie|||true
tt0062512|You Only Live Twice|1967|PG|13 June 1967 (UK)|117 min|Action, Adventure, Thriller|Lewis Gilbert|Harold Jack Bloom  (additional story material), Roald Dahl  (screenplay)|Sean Connery , Akiko Wakabayashi , Mie Hama|When an American space capsule is swallowed up by what they believe to be a Russian spaceship, World War 3 nearly breaks out. The British Government, however, suspect that other powers are at work as the space craft went down near Japan. S.P.E.C.T.R.E. is the force behind the theft, as James Bond discovers, but its motives are far from clear, and he must first find out where the captured space capsule is held before America and Russia initiate another world war.|UK|English, Japanese, Russian|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTU2Mzk1OV5BMl5BanBnXkFtZTcwMzY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.9|79,307|$9,500,000|N/A|$43,100,000|Eon Productions, Danjaq||movie|||true
tt0061452|Casino Royale|1967|PG|14 April 1967 (UK)|131 min|Comedy|Ken Hughes  (as Kenneth Hughes),|Wolf Mankowitz  (screenplay), John Law  (screenplay)|David Niven , Peter Sellers , Ursula Andress|After the death of M, Sir James Bond is called back out of retirement to stop SMERSH. In order to trick SMERSH and Le Chiffre, Bond thinks up the ultimate plan. That every agent will be named James Bond. One of the Bonds, whose real name is Evelyn Tremble is sent to take on Le Chiffre in a game of baccarat, but all the Bonds get more than they can handle.|UK, USA|English, French, Scottish Gaelic, German, Japanese|0|https://images-na.ssl-images-amazon.com/images/M/MV5BZjJlYzgyZTQtNDFiMy00ZGFjLTk2N2ItN2ViNzNhNzhhNGM1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg|5.2|22,936|$12,000,000|N/A|N/A|Famous Artists Productions||movie|||true
tt0064757|On Her Majesty's Secret Service|1969|PG|19 December 1969 (UK)|142 min|Action, Adventure, Thriller|Peter R. Hunt  (as Peter Hunt)|Simon Raven  (additional dialogue), Richard Maibaum  (screenplay)|George Lazenby , Diana Rigg , Telly Savalas|George Lazenby steps into the role of James Bond and is sent on his first mission. For help with Draco, he must become very close friends with his daughter, Tracy, and heads off to hunt down Ernst Stavro Blofeld one more time. This takes him to Switzerland, where he must pose as Sir Hilary Bray to find out the secret plan of Blofeld. The facility is covered with Blofeld's guards as well as his hench-woman, Irma Bunt. What has Blofeld got in mind this time? Can Bond keep up this act for much longer? Are ANY Bond girls safe?|UK|English, German, French|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NDYzMjgyNV5BMl5BanBnXkFtZTcwMjgyMzY0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.8|63,528|$7,000,000|N/A|$22,800,000|Eon Productions||movie|||true
tt0066995|Diamonds Are Forever|1971||17 December 1971 (USA)|120 min|Action, Adventure, Thriller|Guy Hamilton|Richard Maibaum  (screenplay), Tom Mankiewicz  (screenplay)|Sean Connery , Jill St. John , Charles Gray|James Bond's mission is to find out who has been smuggling diamonds, which are not re-appearing. He adopts another identity in the form of Peter Franks. He joins up with Tiffany Case, and acts as if he is smuggling the diamonds, but everyone is hungry for these diamonds. He also has to avoid Mr. Wint and Mr. Kidd, the dangerous couple who do not leave anyone in their way. Ernst Stavro Blofeld isn't out of the question. He may have changed his looks, but is he linked with the heist? And if he is, can Bond finally defeat his ultimate enemy.|UK, USA|English, German|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MDI2MzYzOF5BMl5BanBnXkFtZTcwNDY4NTMzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.7|78,075|$7,200,000|N/A|$43,800,000|Eon Productions, Danjaq||movie|||true
tt0070328|Live and Let Die|1973|PG|12 July 1973 (UK)|121 min|Action, Adventure, Thriller|Guy Hamilton|Tom Mankiewicz  (screenplay)|Roger Moore , Yaphet Kotto , Jane Seymour|Several British agents have been murdered and James Bond is sent to New Orleans, to investigate these mysterious deaths. Mr. Big comes to his knowledge, who is self-producing heroin. Along his journeys he meets Tee Hee who has a claw for a hand, Baron Samedi the voodoo master and Solitaire a tarot card reader. Bond must travel to New Orleans, and deep into the Bayou.|UK|English, Hungarian|0|https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2NTY5MTYzMl5BMl5BanBnXkFtZTcwNzY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg|6.8|79,025|$7,000,000|N/A|$35,400,000|Eon Productions||movie|||true
